experiment_name,accuracy,precision,recall,f1,specificity,confusion_matrix
Logistic Regression,0.9021739130434783,0.9181818181818182,0.9181818181818182,0.9181818181818182,0.8783783783783784,"[[ 65   9]
 [  9 101]]"
Imputed Logistic Regression,0.9021739130434783,0.9181818181818182,0.9181818181818182,0.9181818181818182,0.8783783783783784,"[[ 65   9]
 [  9 101]]"
Support Vector Machine,0.9021739130434783,0.9181818181818182,0.9181818181818182,0.9181818181818182,0.8783783783783784,"[[ 65   9]
 [  9 101]]"
Tunned XG Boost,0.8967391304347826,0.9174311926605505,0.9090909090909091,0.91324200913242,0.8783783783783784,"[[ 65   9]
 [ 10 100]]"
SVC(bagging),0.8913043478260869,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8648648648648649,"[[ 64  10]
 [ 10 100]]"
Imputed XGBoost,0.8913043478260869,0.9166666666666666,0.9,0.908256880733945,0.8783783783783784,"[[65  9]
 [11 99]]"
Imputed Naive Bayes,0.8913043478260869,0.9166666666666666,0.9,0.908256880733945,0.8783783783783784,"[[65  9]
 [11 99]]"
Imputed Support Vector Machine,0.8913043478260869,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8648648648648649,"[[ 64  10]
 [ 10 100]]"
Logistic Regression (bagging),0.8913043478260869,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8648648648648649,"[[ 64  10]
 [ 10 100]]"
XGBoost,0.8913043478260869,0.9166666666666666,0.9,0.908256880733945,0.8783783783783784,"[[65  9]
 [11 99]]"
Naive Bayes,0.8913043478260869,0.9166666666666666,0.9,0.908256880733945,0.8783783783783784,"[[65  9]
 [11 99]]"
Gradient Boosting,0.8858695652173914,0.908256880733945,0.9,0.9041095890410958,0.8648648648648649,"[[64 10]
 [11 99]]"
Imputed Gradient Boosting,0.8858695652173914,0.908256880733945,0.9,0.9041095890410958,0.8648648648648649,"[[64 10]
 [11 99]]"
Imputed Random Forest,0.8804347826086957,0.9,0.9,0.9,0.8513513513513513,"[[63 11]
 [11 99]]"
Random Forest,0.8804347826086957,0.9074074074074074,0.8909090909090909,0.8990825688073395,0.8648648648648649,"[[64 10]
 [12 98]]"
Imputed K-Nearest Neighbors,0.8641304347826086,0.8828828828828829,0.8909090909090909,0.8868778280542986,0.8243243243243243,"[[61 13]
 [12 98]]"
KNN (bagging),0.8586956521739131,0.8818181818181818,0.8818181818181818,0.8818181818181818,0.8243243243243243,"[[61 13]
 [13 97]]"
Tunned Random Forest,0.8532608695652174,0.8952380952380953,0.8545454545454545,0.8744186046511628,0.8513513513513513,"[[63 11]
 [16 94]]"
K-Nearest Neighbors,0.8532608695652174,0.8807339449541285,0.8727272727272727,0.8767123287671232,0.8243243243243243,"[[61 13]
 [14 96]]"
Tunned DecisionTree,0.8152173913043478,0.9222222222222223,0.7545454545454545,0.83,0.9054054054054054,"[[67  7]
 [27 83]]"
Decision Tree,0.7934782608695652,0.875,0.7636363636363637,0.8155339805825242,0.8378378378378378,"[[62 12]
 [26 84]]"
Imputed Decision Tree,0.7771739130434783,0.8791208791208791,0.7272727272727273,0.7960199004975125,0.8513513513513513,"[[63 11]
 [30 80]]"
